  cell  ,E,W,N,S
"(1, 2)",1,0,0,1
"(2, 2)",0,1,1,0
"(3, 2)",1,1,0,0
"(4, 2)",1,1,0,0
"(5, 2)",1,1,0,0
"(6, 2)",0,1,0,1
"(7, 2)",1,0,1,0
"(8, 2)",0,0,0,1
"(9, 2)",0,0,1,1
"(10, 2)",0,0,1,1
"(11, 2)",1,1,1,0
"(12, 2)",1,1,0,0
"(13, 2)",1,1,0,0
"(14, 2)",0,1,0,0
"(15, 2)",1,0,0,1
"(16, 2)",0,0,1,1
"(17, 2)",0,0,1,1
"(18, 2)",0,1,1,0
"(19, 2)",1,1,0,0
"(20, 2)",1,0,0,0
"(21, 2)",1,1,0,0
"(22, 2)",0,1,0,1
"(23, 2)",0,1,1,0
"(24, 2)",1,0,0,1
"(25, 2)",1,0,1,0
"(26, 2)",1,1,0,0
"(27, 2)",0,0,0,1
"(28, 2)",0,1,1,0
"(29, 2)",1,0,0,1
"(30, 2)",0,0,1,1
"(31, 2)",0,1,1,0
"(32, 2)",0,1,0,1
"(33, 2)",0,0,1,1
"(34, 2)",0,0,1,1
"(35, 2)",1,0,1,0
"(36, 2)",0,1,0,1
"(37, 2)",0,0,1,1
"(38, 2)",1,0,1,0
"(39, 2)",1,0,0,1
"(40, 2)",1,0,1,1
"(41, 2)",0,1,1,0
"(42, 2)",0,1,0,1
"(43, 2)",0,1,1,0
"(44, 2)",1,0,0,1
"(45, 2)",0,1,1,1
"(46, 2)",1,1,1,0
"(47, 2)",1,0,0,1
"(48, 2)",0,1,1,0
"(49, 2)",0,1,0,1
"(50, 2)",1,0,1,0
"(51, 2)",0,1,0,1
"(52, 2)",0,1,1,0
"(53, 2)",1,0,0,0
"(54, 2)",1,1,0,0
"(55, 2)",1,1,0,0
"(56, 2)",1,0,0,1
"(57, 2)",1,0,1,1
"(58, 2)",0,0,1,1
"(59, 2)",0,0,1,0
"(60, 2)",0,1,0,1
"(61, 2)",0,1,1,0
"(62, 2)",1,1,0,0
"(63, 2)",0,1,0,1
"(64, 2)",1,0,1,0
"(65, 2)",0,1,0,1
"(66, 2)",1,0,1,0
"(67, 2)",1,1,0,1
"(68, 2)",0,1,1,0
"(69, 2)",0,1,0,1
"(70, 2)",0,1,1,1
"(71, 2)",0,0,1,0
"(72, 2)",0,1,0,1
"(73, 2)",1,0,1,0
"(74, 2)",1,0,0,1
"(75, 2)",0,1,1,0
"(1, 3)",0,1,0,1
"(2, 3)",0,0,1,1
"(3, 3)",0,1,1,0
"(4, 3)",1,1,0,1
"(5, 3)",0,1,1,1
"(6, 3)",1,0,1,0
"(7, 3)",0,1,0,1
"(8, 3)",0,0,1,1
"(9, 3)",1,0,1,1
"(10, 3)",1,0,1,0
"(11, 3)",1,1,0,0
"(12, 3)",1,1,0,0
"(13, 3)",0,1,0,1
"(14, 3)",1,0,1,0
"(15, 3)",1,1,0,0
"(16, 3)",1,0,0,0
"(17, 3)",1,0,0,1
"(18, 3)",1,0,1,0
"(19, 3)",1,1,0,0
"(20, 3)",1,1,0,0
"(21, 3)",0,1,0,1
"(22, 3)",0,0,1,1
"(23, 3)",0,0,1,1
"(24, 3)",0,1,1,0
"(25, 3)",1,1,0,0
"(26, 3)",1,1,0,1
"(27, 3)",0,0,1,1
"(28, 3)",1,0,1,0
"(29, 3)",0,1,0,1
"(30, 3)",0,0,1,1
"(31, 3)",0,0,1,1
"(32, 3)",1,0,1,0
"(33, 3)",1,0,0,1
"(34, 3)",1,0,1,0
"(35, 3)",0,1,0,1
"(36, 3)",0,0,1,1
"(37, 3)",1,0,1,0
"(38, 3)",0,1,0,1
"(39, 3)",0,1,1,0
"(40, 3)",0,1,0,0
"(41, 3)",1,0,0,1
"(42, 3)",0,0,1,1
"(43, 3)",1,0,1,0
"(44, 3)",0,1,0,0
"(45, 3)",1,0,0,1
"(46, 3)",0,1,1,1
"(47, 3)",0,1,1,0
"(48, 3)",1,0,0,1
"(49, 3)",1,0,1,0
"(50, 3)",1,1,0,0
"(51, 3)",0,0,0,1
"(52, 3)",0,0,1,1
"(53, 3)",1,1,1,0
"(54, 3)",0,1,0,1
"(55, 3)",0,1,1,0
"(56, 3)",1,1,0,0
"(57, 3)",0,1,0,1
"(58, 3)",0,0,1,1
"(59, 3)",0,0,1,1
"(60, 3)",1,0,1,1
"(61, 3)",1,0,1,0
"(62, 3)",0,1,0,1
"(63, 3)",1,0,1,0
"(64, 3)",1,1,0,0
"(65, 3)",1,0,0,0
"(66, 3)",1,1,0,0
"(67, 3)",1,1,0,1
"(68, 3)",0,0,1,0
"(69, 3)",1,0,0,1
"(70, 3)",0,0,1,1
"(71, 3)",0,0,1,1
"(72, 3)",0,0,1,1
"(73, 3)",0,1,1,0
"(74, 3)",0,1,0,1
"(75, 3)",1,0,1,0
"(1, 4)",0,0,0,1
"(2, 4)",1,0,1,1
"(3, 4)",0,0,1,0
"(4, 4)",1,1,0,0
"(5, 4)",1,0,0,0
"(6, 4)",0,1,0,1
"(7, 4)",0,0,1,1
"(8, 4)",0,0,1,1
"(9, 4)",1,1,1,0
"(10, 4)",1,1,0,0
"(11, 4)",0,1,0,0
"(12, 4)",0,1,0,1
"(13, 4)",1,0,1,0
"(14, 4)",0,1,0,1
"(15, 4)",0,1,1,0
"(16, 4)",0,1,0,1
"(17, 4)",0,1,1,0
"(18, 4)",1,1,0,0
"(19, 4)",1,1,0,0
"(20, 4)",0,1,0,1
"(21, 4)",0,0,1,1
"(22, 4)",0,0,1,1
"(23, 4)",1,0,1,0
"(24, 4)",1,0,0,1
"(25, 4)",0,1,1,0
"(26, 4)",0,1,0,0
"(27, 4)",1,0,0,1
"(28, 4)",0,1,1,1
"(29, 4)",1,0,1,1
"(30, 4)",0,0,1,1
"(31, 4)",0,0,1,0
"(32, 4)",1,1,0,0
"(33, 4)",0,1,0,0
"(34, 4)",0,1,0,1
"(35, 4)",1,0,1,1
"(36, 4)",0,0,1,0
"(37, 4)",0,1,0,1
"(38, 4)",0,0,1,1
"(39, 4)",0,0,1,1
"(40, 4)",1,0,1,0
"(41, 4)",0,1,0,1
"(42, 4)",1,0,1,0
"(43, 4)",0,1,0,1
"(44, 4)",1,0,1,0
"(45, 4)",0,1,0,1
"(46, 4)",1,0,1,0
"(47, 4)",1,0,0,0
"(48, 4)",1,1,0,0
"(49, 4)",0,1,0,1
"(50, 4)",1,1,1,0
"(51, 4)",1,0,0,1
"(52, 4)",0,0,1,1
"(53, 4)",0,1,1,0
"(54, 4)",1,0,0,1
"(55, 4)",0,0,1,1
"(56, 4)",0,1,1,0
"(57, 4)",1,0,0,0
"(58, 4)",1,0,0,1
"(59, 4)",0,0,1,1
"(60, 4)",0,1,1,0
"(61, 4)",1,1,0,0
"(62, 4)",1,0,0,0
"(63, 4)",0,1,0,1
"(64, 4)",0,1,1,0
"(65, 4)",1,1,0,0
"(66, 4)",1,1,0,0
"(67, 4)",1,1,0,0
"(68, 4)",1,0,0,1
"(69, 4)",0,1,1,0
"(70, 4)",1,0,0,1
"(71, 4)",1,0,1,0
"(72, 4)",1,0,0,1
"(73, 4)",1,0,1,1
"(74, 4)",0,0,1,0
"(75, 4)",1,1,0,0
"(1, 5)",1,0,0,1
"(2, 5)",0,1,1,0
"(3, 5)",1,0,0,1
"(4, 5)",0,1,1,0
"(5, 5)",0,1,0,1
"(6, 5)",0,0,1,1
"(7, 5)",0,0,1,1
"(8, 5)",0,0,1,1
"(9, 5)",0,1,1,0
"(10, 5)",1,1,0,0
"(11, 5)",1,0,0,1
"(12, 5)",0,0,1,1
"(13, 5)",0,1,1,0
"(14, 5)",1,0,0,1
"(15, 5)",0,0,1,1
"(16, 5)",0,0,1,1
"(17, 5)",0,0,1,1
"(18, 5)",1,1,1,0
"(19, 5)",0,1,0,1
"(20, 5)",0,0,1,1
"(21, 5)",0,0,1,1
"(22, 5)",1,0,1,0
"(23, 5)",1,1,0,0
"(24, 5)",1,1,0,0
"(25, 5)",1,0,0,1
"(26, 5)",1,0,1,0
"(27, 5)",1,1,0,0
"(28, 5)",1,0,0,1
"(29, 5)",0,1,1,0
"(30, 5)",1,0,0,1
"(31, 5)",0,0,1,1
"(32, 5)",0,1,1,0
"(33, 5)",1,0,0,1
"(34, 5)",1,0,1,0
"(35, 5)",1,1,0,0
"(36, 5)",1,0,0,1
"(37, 5)",0,0,1,1
"(38, 5)",0,0,1,1
"(39, 5)",1,0,1,0
"(40, 5)",0,1,0,1
"(41, 5)",1,0,1,0
"(42, 5)",0,1,0,1
"(43, 5)",1,0,1,0
"(44, 5)",1,1,0,1
"(45, 5)",1,0,1,0
"(46, 5)",0,1,0,1
"(47, 5)",1,1,1,0
"(48, 5)",1,1,0,0
"(49, 5)",0,0,0,1
"(50, 5)",0,1,1,0
"(51, 5)",1,1,0,1
"(52, 5)",0,0,1,1
"(53, 5)",0,0,1,1
"(54, 5)",0,1,1,0
"(55, 5)",1,0,0,0
"(56, 5)",1,0,0,1
"(57, 5)",1,1,1,0
"(58, 5)",0,1,0,1
"(59, 5)",0,0,1,1
"(60, 5)",1,0,1,0
"(61, 5)",1,1,0,0
"(62, 5)",0,1,0,1
"(63, 5)",0,0,1,1
"(64, 5)",1,0,1,1
"(65, 5)",1,1,1,0
"(66, 5)",1,1,0,0
"(67, 5)",0,1,0,0
"(68, 5)",0,1,0,1
"(69, 5)",0,0,1,1
"(70, 5)",0,1,1,0
"(71, 5)",1,1,0,0
"(72, 5)",1,1,0,0
"(73, 5)",0,1,0,1
"(74, 5)",0,0,1,1
"(75, 5)",0,1,1,0
"(1, 6)",0,1,0,1
"(2, 6)",1,0,1,0
"(3, 6)",0,1,0,1
"(4, 6)",0,0,1,1
"(5, 6)",0,0,1,1
"(6, 6)",0,0,1,1
"(7, 6)",0,0,1,1
"(8, 6)",1,0,1,0
"(9, 6)",1,0,0,1
"(10, 6)",1,1,1,0
"(11, 6)",1,1,0,0
"(12, 6)",1,0,0,1
"(13, 6)",0,0,1,1
"(14, 6)",0,1,1,0
"(15, 6)",1,0,0,1
"(16, 6)",0,0,1,1
"(17, 6)",0,0,1,1
"(18, 6)",0,1,1,1
"(19, 6)",0,0,1,1
"(20, 6)",0,0,1,1
"(21, 6)",1,0,1,0
"(22, 6)",1,1,0,0
"(23, 6)",1,1,0,0
"(24, 6)",0,1,0,1
"(25, 6)",0,1,1,0
"(26, 6)",0,1,0,1
"(27, 6)",0,1,1,0
"(28, 6)",0,1,0,1
"(29, 6)",1,0,1,0
"(30, 6)",1,1,0,0
"(31, 6)",0,0,0,1
"(32, 6)",1,0,1,1
"(33, 6)",0,1,1,0
"(34, 6)",1,1,0,0
"(35, 6)",1,1,0,0
"(36, 6)",0,1,0,1
"(37, 6)",1,0,1,0
"(38, 6)",1,0,0,1
"(39, 6)",0,1,1,1
"(40, 6)",0,0,1,0
"(41, 6)",0,1,0,1
"(42, 6)",0,0,1,1
"(43, 6)",0,1,1,0
"(44, 6)",1,1,0,0
"(45, 6)",0,1,0,1
"(46, 6)",1,0,1,0
"(47, 6)",1,1,0,0
"(48, 6)",1,1,0,0
"(49, 6)",1,0,0,1
"(50, 6)",1,0,1,0
"(51, 6)",0,1,0,1
"(52, 6)",1,0,1,0
"(53, 6)",1,0,0,1
"(54, 6)",1,0,1,0
"(55, 6)",0,1,0,1
"(56, 6)",0,1,1,0
"(57, 6)",1,1,0,1
"(58, 6)",1,0,1,0
"(59, 6)",1,0,0,1
"(60, 6)",0,1,1,0
"(61, 6)",0,1,0,1
"(62, 6)",0,0,1,1
"(63, 6)",1,0,1,0
"(64, 6)",1,1,0,0
"(65, 6)",1,1,0,0
"(66, 6)",0,1,0,1
"(67, 6)",0,0,1,1
"(68, 6)",1,0,1,0
"(69, 6)",1,0,0,1
"(70, 6)",0,0,1,1
"(71, 6)",0,1,1,0
"(72, 6)",0,1,0,1
"(73, 6)",0,0,1,1
"(74, 6)",0,0,1,1
"(75, 6)",1,0,1,0
"(1, 7)",1,0,0,1
"(2, 7)",0,1,1,1
"(3, 7)",0,0,1,1
"(4, 7)",0,0,1,1
"(5, 7)",0,0,1,1
"(6, 7)",1,0,1,0
"(7, 7)",1,0,0,1
"(8, 7)",0,1,1,0
"(9, 7)",1,1,0,0
"(10, 7)",0,1,0,0
"(11, 7)",0,1,0,1
"(12, 7)",0,1,1,0
"(13, 7)",1,0,0,1
"(14, 7)",1,0,1,0
"(15, 7)",0,1,0,1
"(16, 7)",1,0,1,1
"(17, 7)",0,0,1,1
"(18, 7)",0,0,1,0
"(19, 7)",1,0,0,1
"(20, 7)",1,0,1,0
"(21, 7)",0,1,0,0
"(22, 7)",1,1,0,0
"(23, 7)",1,1,0,1
"(24, 7)",0,0,1,1
"(25, 7)",1,0,1,1
"(26, 7)",0,0,1,1
"(27, 7)",0,0,1,1
"(28, 7)",0,0,1,0
"(29, 7)",1,1,0,0
"(30, 7)",0,1,0,1
"(31, 7)",0,0,1,1
"(32, 7)",0,1,1,0
"(33, 7)",1,0,0,1
"(34, 7)",0,1,1,0
"(35, 7)",0,1,0,1
"(36, 7)",1,0,1,1
"(37, 7)",0,1,1,0
"(38, 7)",0,1,0,1
"(39, 7)",0,0,1,1
"(40, 7)",0,0,1,1
"(41, 7)",0,0,1,1
"(42, 7)",0,0,1,1
"(43, 7)",1,0,1,0
"(44, 7)",1,1,0,0
"(45, 7)",1,0,0,0
"(46, 7)",1,1,0,0
"(47, 7)",1,1,0,0
"(48, 7)",0,1,0,1
"(49, 7)",0,1,1,0
"(50, 7)",1,1,0,0
"(51, 7)",0,0,0,1
"(52, 7)",0,1,1,1
"(53, 7)",0,1,1,0
"(54, 7)",0,1,0,1
"(55, 7)",0,0,1,1
"(56, 7)",1,0,1,0
"(57, 7)",0,1,0,0
"(58, 7)",1,1,0,0
"(59, 7)",0,1,0,1
"(60, 7)",0,0,1,1
"(61, 7)",0,0,1,1
"(62, 7)",1,0,1,0
"(63, 7)",0,1,0,1
"(64, 7)",0,1,1,0
"(65, 7)",1,1,0,1
"(66, 7)",0,0,1,1
"(67, 7)",1,0,1,0
"(68, 7)",0,1,0,1
"(69, 7)",0,1,1,0
"(70, 7)",1,0,0,1
"(71, 7)",1,0,1,0
"(72, 7)",1,0,0,1
"(73, 7)",1,0,1,0
"(74, 7)",1,0,0,1
"(75, 7)",0,1,1,0
"(1, 8)",0,1,0,1
"(2, 8)",1,0,1,0
"(3, 8)",1,0,0,1
"(4, 8)",1,0,1,0
"(5, 8)",1,0,0,1
"(6, 8)",0,1,1,0
"(7, 8)",1,1,0,0
"(8, 8)",0,0,0,1
"(9, 8)",0,1,1,1
"(10, 8)",1,0,1,1
"(11, 8)",1,0,1,1
"(12, 8)",0,0,1,0
"(13, 8)",1,1,0,0
"(14, 8)",0,1,0,1
"(15, 8)",0,0,1,1
"(16, 8)",1,1,1,0
"(17, 8)",1,0,0,1
"(18, 8)",0,0,1,1
"(19, 8)",0,1,1,0
"(20, 8)",0,1,0,1
"(21, 8)",0,0,1,1
"(22, 8)",0,1,1,0
"(23, 8)",0,1,0,1
"(24, 8)",1,0,1,0
"(25, 8)",1,1,0,0
"(26, 8)",1,0,0,1
"(27, 8)",0,0,1,1
"(28, 8)",1,0,1,0
"(29, 8)",1,1,0,0
"(30, 8)",1,0,0,1
"(31, 8)",0,0,1,1
"(32, 8)",0,0,1,0
"(33, 8)",1,1,0,0
"(34, 8)",1,0,0,1
"(35, 8)",1,0,1,0
"(36, 8)",0,1,0,1
"(37, 8)",0,0,1,1
"(38, 8)",0,0,1,1
"(39, 8)",0,0,1,1
"(40, 8)",1,0,1,0
"(41, 8)",1,0,0,1
"(42, 8)",0,0,1,1
"(43, 8)",1,1,1,0
"(44, 8)",1,1,0,0
"(45, 8)",0,1,0,1
"(46, 8)",0,1,1,0
"(47, 8)",0,1,0,1
"(48, 8)",0,0,1,1
"(49, 8)",1,0,1,0
"(50, 8)",0,1,0,1
"(51, 8)",1,0,1,0
"(52, 8)",1,0,0,1
"(53, 8)",1,0,1,0
"(54, 8)",1,0,0,1
"(55, 8)",0,0,1,0
"(56, 8)",0,1,0,1
"(57, 8)",1,0,1,0
"(58, 8)",1,1,0,1
"(59, 8)",1,0,1,1
"(60, 8)",0,0,1,1
"(61, 8)",1,0,1,0
"(62, 8)",1,1,0,0
"(63, 8)",0,0,0,1
"(64, 8)",1,0,1,1
"(65, 8)",0,1,1,1
"(66, 8)",1,0,1,0
"(67, 8)",1,1,0,0
"(68, 8)",1,0,0,1
"(69, 8)",1,0,1,0
"(70, 8)",0,1,0,0
"(71, 8)",1,1,0,0
"(72, 8)",1,1,0,0
"(73, 8)",0,1,0,1
"(74, 8)",0,1,1,0
"(75, 8)",1,0,0,0
"(1, 9)",1,0,0,1
"(2, 9)",0,1,1,0
"(3, 9)",1,1,0,0
"(4, 9)",1,1,0,0
"(5, 9)",0,1,0,1
"(6, 9)",1,0,1,0
"(7, 9)",0,1,0,1
"(8, 9)",1,0,1,0
"(9, 9)",0,0,0,1
"(10, 9)",1,1,1,0
"(11, 9)",0,1,0,1
"(12, 9)",0,0,1,1
"(13, 9)",0,1,1,0
"(14, 9)",1,0,0,1
"(15, 9)",1,0,1,0
"(16, 9)",1,1,0,0
"(17, 9)",0,1,0,1
"(18, 9)",0,0,1,1
"(19, 9)",1,0,1,1
"(20, 9)",1,0,1,0
"(21, 9)",1,0,0,0
"(22, 9)",1,0,0,1
"(23, 9)",1,0,1,1
"(24, 9)",0,1,1,0
"(25, 9)",0,1,0,0
"(26, 9)",1,1,0,0
"(27, 9)",1,0,0,1
"(28, 9)",0,1,1,0
"(29, 9)",0,1,0,1
"(30, 9)",1,1,1,0
"(31, 9)",1,0,0,1
"(32, 9)",1,0,1,0
"(33, 9)",1,1,0,0
"(34, 9)",1,1,0,0
"(35, 9)",1,1,0,0
"(36, 9)",0,0,0,1
"(37, 9)",0,0,1,1
"(38, 9)",0,0,1,1
"(39, 9)",1,0,1,1
"(40, 9)",0,1,1,0
"(41, 9)",1,1,0,0
"(42, 9)",1,0,0,0
"(43, 9)",1,1,0,0
"(44, 9)",1,1,0,0
"(45, 9)",1,0,0,1
"(46, 9)",0,0,1,1
"(47, 9)",0,0,1,1
"(48, 9)",1,0,1,0
"(49, 9)",1,1,0,0
"(50, 9)",1,0,0,1
"(51, 9)",0,1,1,0
"(52, 9)",1,1,0,0
"(53, 9)",1,1,0,0
"(54, 9)",0,1,0,1
"(55, 9)",1,0,1,1
"(56, 9)",0,0,1,1
"(57, 9)",0,1,1,0
"(58, 9)",0,1,0,0
"(59, 9)",1,1,0,0
"(60, 9)",1,0,0,1
"(61, 9)",0,1,1,0
"(62, 9)",0,1,0,1
"(63, 9)",1,0,1,0
"(64, 9)",0,1,0,0
"(65, 9)",1,0,0,1
"(66, 9)",1,1,1,0
"(67, 9)",0,1,0,1
"(68, 9)",0,1,1,0
"(69, 9)",1,1,0,0
"(70, 9)",1,0,0,1
"(71, 9)",1,1,1,0
"(72, 9)",0,1,0,1
"(73, 9)",1,0,1,0
"(74, 9)",0,0,0,1
"(75, 9)",1,1,1,0
"(1, 10)",1,1,0,0
"(2, 10)",0,0,0,1
"(3, 10)",1,1,1,0
"(4, 10)",0,1,0,1
"(5, 10)",1,0,1,0
"(6, 10)",1,1,0,0
"(7, 10)",1,0,0,0
"(8, 10)",0,1,0,1
"(9, 10)",1,0,1,0
"(10, 10)",0,1,0,0
"(11, 10)",1,0,0,1
"(12, 10)",0,0,1,1
"(13, 10)",0,0,1,1
"(14, 10)",0,1,1,0
"(15, 10)",1,1,0,0
"(16, 10)",1,1,0,0
"(17, 10)",1,0,0,1
"(18, 10)",1,0,1,0
"(19, 10)",0,1,0,0
"(20, 10)",1,1,0,0
"(21, 10)",1,1,0,1
"(22, 10)",0,1,1,0
"(23, 10)",0,1,0,1
"(24, 10)",0,0,1,1
"(25, 10)",0,0,1,1
"(26, 10)",0,1,1,0
"(27, 10)",0,1,0,1
"(28, 10)",0,0,1,1
"(29, 10)",1,0,1,0
"(30, 10)",1,1,0,0
"(31, 10)",1,1,0,0
"(32, 10)",0,1,0,1
"(33, 10)",0,1,1,0
"(34, 10)",1,1,0,0
"(35, 10)",1,1,0,1
"(36, 10)",0,0,1,1
"(37, 10)",0,0,1,1
"(38, 10)",1,0,1,0
"(39, 10)",0,1,0,0
"(40, 10)",1,0,0,1
"(41, 10)",0,1,1,0
"(42, 10)",0,1,0,1
"(43, 10)",1,1,1,0
"(44, 10)",1,1,0,0
"(45, 10)",0,1,0,1
"(46, 10)",0,0,1,1
"(47, 10)",1,0,1,0
"(48, 10)",1,1,0,0
"(49, 10)",1,1,0,0
"(50, 10)",0,1,0,1
"(51, 10)",1,0,1,0
"(52, 10)",1,1,0,0
"(53, 10)",0,1,0,1
"(54, 10)",1,0,1,0
"(55, 10)",0,1,0,1
"(56, 10)",1,0,1,0
"(57, 10)",0,0,0,1
"(58, 10)",1,0,1,1
"(59, 10)",0,1,1,0
"(60, 10)",0,1,0,1
"(61, 10)",1,0,1,1
"(62, 10)",0,0,1,0
"(63, 10)",0,1,0,1
"(64, 10)",1,0,1,0
"(65, 10)",1,1,0,0
"(66, 10)",0,1,0,1
"(67, 10)",0,0,1,1
"(68, 10)",1,0,1,0
"(69, 10)",0,1,0,1
"(70, 10)",1,1,1,0
"(71, 10)",0,1,0,0
"(72, 10)",1,0,0,1
"(73, 10)",0,1,1,0
"(74, 10)",1,0,0,1
"(75, 10)",1,1,1,0
"(1, 11)",1,1,0,1
"(2, 11)",1,0,1,0
"(3, 11)",1,1,0,0
"(4, 11)",1,0,0,0
"(5, 11)",1,1,0,0
"(6, 11)",1,1,0,0
"(7, 11)",1,1,0,1
"(8, 11)",1,0,1,0
"(9, 11)",1,1,0,0
"(10, 11)",1,0,0,1
"(11, 11)",0,1,1,0
"(12, 11)",0,0,0,1
"(13, 11)",0,0,1,1
"(14, 11)",1,0,1,0
"(15, 11)",1,1,0,0
"(16, 11)",1,1,0,0
"(17, 11)",1,1,0,0
"(18, 11)",0,1,0,1
"(19, 11)",1,0,1,0
"(20, 11)",1,1,0,0
"(21, 11)",1,1,0,0
"(22, 11)",0,0,0,1
"(23, 11)",0,0,1,1
"(24, 11)",0,0,1,1
"(25, 11)",0,0,1,1
"(26, 11)",0,0,1,1
"(27, 11)",1,0,1,1
"(28, 11)",1,0,1,0
"(29, 11)",1,1,0,0
"(30, 11)",1,1,0,0
"(31, 11)",0,1,0,1
"(32, 11)",0,0,1,1
"(33, 11)",1,0,1,0
"(34, 11)",0,1,0,1
"(35, 11)",1,1,1,0
"(36, 11)",1,0,0,1
"(37, 11)",1,0,1,0
"(38, 11)",0,1,0,1
"(39, 11)",1,0,1,0
"(40, 11)",0,1,0,1
"(41, 11)",0,0,1,1
"(42, 11)",1,0,1,0
"(43, 11)",0,1,0,0
"(44, 11)",0,1,0,1
"(45, 11)",1,0,1,1
"(46, 11)",1,0,1,0
"(47, 11)",1,1,0,0
"(48, 11)",1,1,0,0
"(49, 11)",1,1,0,0
"(50, 11)",1,0,0,0
"(51, 11)",0,1,0,1
"(52, 11)",0,1,1,1
"(53, 11)",0,0,1,0
"(54, 11)",0,1,0,1
"(55, 11)",1,0,1,0
"(56, 11)",0,1,0,1
"(57, 11)",0,0,1,1
"(58, 11)",0,1,1,0
"(59, 11)",1,0,0,1
"(60, 11)",1,0,1,0
"(61, 11)",0,1,0,0
"(62, 11)",1,0,0,1
"(63, 11)",0,0,1,1
"(64, 11)",0,1,1,0
"(65, 11)",1,1,0,0
"(66, 11)",1,0,0,1
"(67, 11)",1,0,1,0
"(68, 11)",0,1,0,1
"(69, 11)",0,0,1,0
"(70, 11)",1,1,0,0
"(71, 11)",1,0,0,1
"(72, 11)",0,1,1,0
"(73, 11)",0,0,0,1
"(74, 11)",1,1,1,0
"(75, 11)",0,1,0,0
"(1, 12)",1,1,0,0
"(2, 12)",1,1,0,0
"(3, 12)",0,1,0,1
"(4, 12)",0,1,1,0
"(5, 12)",1,1,0,1
"(6, 12)",0,1,1,1
"(7, 12)",0,1,1,0
"(8, 12)",1,1,0,0
"(9, 12)",1,1,0,0
"(10, 12)",0,1,0,1
"(11, 12)",0,0,1,1
"(12, 12)",0,0,1,1
"(13, 12)",1,0,1,0
"(14, 12)",1,1,0,1
"(15, 12)",0,1,1,0
"(16, 12)",1,1,0,0
"(17, 12)",0,1,0,1
"(18, 12)",1,0,1,0
"(19, 12)",0,1,0,1
"(20, 12)",0,1,1,0
"(21, 12)",0,1,0,1
"(22, 12)",1,0,1,0
"(23, 12)",1,0,0,1
"(24, 12)",0,0,1,1
"(25, 12)",0,0,1,1
"(26, 12)",0,0,1,1
"(27, 12)",0,1,1,0
"(28, 12)",1,1,0,0
"(29, 12)",1,1,0,0
"(30, 12)",1,1,0,0
"(31, 12)",1,0,0,1
"(32, 12)",1,0,1,0
"(33, 12)",0,1,0,1
"(34, 12)",1,0,1,0
"(35, 12)",1,1,0,1
"(36, 12)",0,1,1,0
"(37, 12)",0,1,0,1
"(38, 12)",1,0,1,0
"(39, 12)",0,1,0,1
"(40, 12)",0,0,1,1
"(41, 12)",0,0,1,1
"(42, 12)",1,1,1,0
"(43, 12)",1,0,0,1
"(44, 12)",0,0,1,1
"(45, 12)",0,1,1,0
"(46, 12)",1,1,0,0
"(47, 12)",1,1,0,0
"(48, 12)",0,1,0,1
